,Player,Country,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5
4,R McLaren ,SA,54,51,2403,2102,77,Apr-19,27.29,5.24,31.2,5,0
5,JE Emburey ,ENG,61,61,3425,2346,76,Apr-37,30.86,4.1,45,2,0
6,SJ Harmison ,ENG,58,57,2899,2481,76,May-33,32.64,5.13,38.1,2,1
7,RD King ,WI,50,50,2603,1807,76,Apr-25,23.77,4.16,34.2,2,0
8,Mahmudullah ,BDESH,185,134,4090,3527,76,03-Apr,46.4,5.17,53.8,0,0
9,RJ Ratnayake ,SL,70,70,3575,2712,76,May-32,35.68,4.55,47,1,1
10,GB Brent ,ZIM,70,69,3390,2776,75,Apr-22,37.01,4.91,45.2,3,0
11,RJ Peterson ,SA,79,74,3278,2680,75,04-Dec,35.73,4.9,43.7,3,0
12,S Sreesanth ,INDIA,53,52,2476,2508,75,Jun-55,33.44,6.07,33,2,1
13,HMRKB Herath ,SL,71,67,3242,2362,74,Apr-20,31.91,4.37,43.8,1,0
14,TJ Murtagh ,IRE,58,57,3020,2290,74,May-21,30.94,4.54,40.8,4,1
15,W Watson ,NZ,61,61,3251,2247,74,Apr-27,30.36,4.14,43.9,1,0
16,AR Border ,AUS,273,87,2661,2071,73,Mar-20,28.36,4.66,36.4,0,0
17,RS Kalpage ,SL,86,81,3960,2975,73,Apr-36,40.75,4.5,54.2,2,0
18,S Madan Lal ,INDIA,67,64,3164,2137,73,Apr-20,29.27,4.05,43.3,2,0
19,J Botha ,Afr/SA,78,75,3823,2916,72,Apr-19,40.5,4.57,53,1,0
20,GS Chappell ,AUS,74,67,3108,2097,72,May-15,29.12,4.04,43.1,0,2
21,JR Hazlewood ,AUS,44,43,2294,1811,72,Jun-52,25.15,4.73,31.8,1,3
22,PL Symcox ,SA,80,80,3991,2762,72,Apr-28,38.36,4.15,55.4,1,0
23,DBL Powell ,WI,55,55,2850,2239,71,Apr-27,31.53,4.71,40.1,2,0
24,Sohail Tanvir ,PAK,62,60,2949,2566,71,May-48,36.14,5.22,41.5,3,1
25,SC Williams ,ZIM,131,107,4080,3300,71,Apr-43,46.47,4.85,57.4,1,0
26,EA Brandes ,ZIM,59,59,2828,2266,70,May-28,32.37,4.8,40.4,1,2
27,BM McMillan ,SA,78,75,3623,2589,70,Apr-32,36.98,4.28,51.7,1,0
28,NN Odhiambo ,KENYA,69,67,2808,2585,70,Apr-61,36.92,5.52,40.1,1,0
29,AD Russell ,WI,56,55,2290,2229,70,Apr-35,31.84,5.84,32.7,5,0
30,BA Stokes ,ENG,95,80,2912,2920,70,May-61,41.71,6.01,41.6,1,1
31,AR Caddick ,ENG,54,53,2937,1965,69,Apr-19,28.47,4.01,42.5,3,0
32,JP Duminy ,SA,199,135,3513,3143,69,Apr-16,45.55,5.36,50.9,1,0
33,SB Joshi ,INDIA,69,67,3386,2509,69,05-Jun,36.36,4.44,49,1,1
34,MJ Santner ,NZ,69,64,3079,2510,69,May-50,36.37,4.89,44.6,0,1
35,Shafiul Islam ,BDESH,59,59,2486,2453,69,Apr-21,35.55,5.92,36,4,0
36,RP Singh ,INDIA,58,57,2565,2343,69,Apr-35,33.95,5.48,37.1,2,0
37,RR Singh ,INDIA,136,117,3734,2985,69,May-22,43.26,4.79,54.1,0,2
38,CPH Ramanayake ,SL,62,62,2864,2049,68,Apr-17,30.13,4.29,42.1,1,0
39,HA Varaiya ,KENYA,63,60,2951,2048,68,Apr-25,30.11,4.16,43.3,2,0
40,MA Ealham ,ENG,64,62,3227,2197,67,May-15,32.79,4.08,48.1,1,2
41,LH Ferguson ,NZ,36,36,1902,1719,67,May-45,25.65,5.42,28.3,2,1
42,JR Hopes ,AUS,84,75,3157,2384,67,May-14,35.58,4.53,47.1,0,1
43,MS Kasprowicz ,AUS,43,42,2225,1674,67,May-45,24.98,4.51,33.2,1,2
44,Khaled Mahmud ,BDESH,77,75,3385,2865,67,Apr-19,42.76,5.07,50.5,1,0
45,C Sharma ,INDIA,65,63,2835,2336,67,Mar-22,34.86,4.94,42.3,0,0
46,DT Johnston ,IRE,67,63,2930,2115,66,May-14,32.04,4.33,44.3,1,1
47,CC Lewis ,ENG,53,49,2625,1942,66,Apr-30,29.42,4.43,39.7,4,0
48,Maninder Singh ,INDIA,59,57,3133,2066,66,Apr-22,31.3,3.95,47.4,1,0
49,T Panyangara ,ZIM,65,65,3242,3024,65,Mar-28,46.52,5.59,49.8,0,0
0,AL Phehlukwayo ,SA,52,50,2077,1936,65,Apr-22,29.78,5.59,31.9,3,0
1,C White ,ENG,51,50,2364,1726,65,May-21,26.55,4.38,36.3,1,1
2,A Zampa ,AUS,48,48,2480,2363,65,Apr-43,36.35,5.71,38.1,1,0
3,A Mishra ,INDIA,36,34,1917,1511,64,Jun-48,23.6,4.72,29.9,2,2
4,DJ Nash ,NZ,81,78,3416,2622,64,Apr-38,40.96,4.6,53.3,1,0
5,SM Sharif ,SCOT,44,44,2129,1776,64,May-33,27.75,5,33.2,2,1
6,AR Cusack ,IRE,59,52,1953,1510,63,May-20,23.96,4.63,31,1,1
7,NM Hauritz ,AUS,58,56,2724,2152,63,Apr-29,34.15,4.74,43.2,2,0
8,NL McCullum ,NZ,84,81,3536,2956,63,Mar-24,46.92,5.01,56.1,0,0
9,Mujeeb Ur Rahman ,AFG,40,39,2153,1414,63,May-50,22.44,3.94,34.1,2,1
10,AD Mullally ,ENG,50,49,2699,1728,63,Apr-18,27.42,3.84,42.8,2,0
11,SLV Raju ,INDIA,53,52,2770,2014,63,Apr-46,31.96,4.36,43.9,2,0
12,BA Reid ,AUS,61,61,3250,2203,63,May-53,34.96,4.06,51.5,0,1
13,Sarfraz Nawaz ,PAK,45,45,2412,1463,63,Apr-27,23.22,3.63,38.2,4,0
14,DE Bollinger ,AUS,39,39,1942,1482,62,May-35,23.9,4.57,31.3,3,2
15,SW Tait ,AUS,35,34,1688,1461,62,Apr-39,23.56,5.19,27.2,2,0
16,DT Hondo ,ZIM,56,56,2381,2171,61,Apr-37,35.59,5.47,39,3,0
17,DR Smith ,WI,105,73,2726,2285,61,May-45,37.45,5.02,44.6,3,1
18,Syed Rasel ,BDESH,52,52,2657,2051,61,Apr-22,33.62,4.63,43.5,1,0
19,MA Wood ,ENG,51,50,2585,2385,61,Apr-33,39.09,5.53,42.3,2,0
20,CJ Anderson ,NZ,49,43,1485,1502,60,May-63,25.03,6.06,24.7,2,1
21,FH Edwards ,WI,50,49,2138,1812,60,Jun-22,30.2,5.08,35.6,0,2
22,RM Haq ,SCOT,54,51,2633,1975,60,May-54,32.91,4.5,43.8,2,1
23,JC Tredwell ,ENG,45,44,2104,1666,60,Apr-41,27.76,4.75,35,3,0
24,ALF de Mel ,SL,57,57,2735,2237,59,May-32,37.91,4.9,46.3,1,2
25,NA Foster ,ENG,48,48,2627,1836,59,Mar-20,31.11,4.19,44.5,0,0
26,Gulbadin Naib ,AFG,65,60,2194,1968,59,Jun-43,33.35,5.38,37.1,2,1
27,Hamid Hassan ,AFG,38,37,1734,1330,59,May-45,22.54,4.6,29.3,2,1
28,JDS Neesham ,NZ,59,55,1772,1814,59,May-31,30.74,6.14,30,2,1
29,Shadab Khan ,PAK,43,41,2088,1750,59,Apr-28,29.66,5.02,35.3,3,0
30,Sikandar Raza ,ZIM,97,71,2846,2269,59,Mar-21,38.45,4.78,48.2,0,0
31,Tapash Baisya ,BDESH,56,56,2608,2452,59,Apr-16,41.55,5.64,44.2,2,0
32,KM Jarvis ,ZIM,49,49,2362,2088,58,Apr-17,36,5.3,40.7,2,0
33,HK Olonga ,ZIM,50,49,2059,1977,58,Jun-19,34.08,5.76,35.5,2,2
34,GC Small ,ENG,53,53,2793,1942,58,Apr-31,33.48,4.17,48.1,1,0
35,Mudassar Bukhari ,NL,46,46,2036,1601,57,Mar-17,28.08,4.71,35.7,0,0
36,MJ Clarke ,AUS,245,106,2585,2146,57,May-35,37.64,4.98,45.3,1,1
37,GRJ Matthews ,AUS,59,54,2808,2004,57,Mar-27,35.15,4.28,49.2,0,0
38,DS Mohanty ,INDIA,45,44,1996,1662,57,Apr-56,29.15,4.99,35,1,0
39,T Mupariwa ,ZIM,40,40,2019,1690,57,Apr-39,29.64,5.02,35.4,3,0
40,Arshad Khan ,PAK,58,56,2823,1948,56,Apr-33,34.78,4.14,50.4,1,0
41,R Telemachus ,SA,37,37,1918,1565,56,Apr-43,27.94,4.89,34.2,1,0
42,XJ Doherty ,AUS,60,56,2792,2224,55,Apr-28,40.43,4.77,50.7,3,0
